autor_comentarios,corpo_comentarios,data_comentarios,endereco_comentarios,titulo_comentarios
seattaxi,"Combine this with a visit to Belem tower. A fantastic old building full of character. The upper level provides an opening into the upper gallery of the church next door, which is quite ornate","Written May 26, 2022","Cambridge, UK",Stone at its finest
Angie2012-11,"The monastery is definitely worth seeing. Great ornaments outside. Inside - maybe it looks like another big church, but I didn't regret visiting it. Ther are graves of Vasco da Gama and some of royal family. It's been put in Unesco's Word Heritage list and called as one of 7 miracle places of Portugal.","Written May 26, 2022","London, UK",Interesting place
,,,,
GeneralShamu,"Beautiful monastery to visit while in Lisbon. It does tend to get crowded so expect some delays on that front, but not that bad if you go in the morning.","Written May 26, 2022","New York City, NY",Short Visit
harpies,Fab place don't miss. You can book tickets online. Free entrance to adjoining church. A bit of a queue but moved quickly and plenty of space inside.,"Written May 25, 2022","Harpenden, UK",Don't miss
German F,The monastery consists of a unique eclectic building. The spaces are developed around a beautiful courtyard divided into two architectural orders. The sculptural use of stone lends a sense of preciousness to the whole.,"Written May 25, 2022","Milan, Italy",An eclectic jewel
Bonnielynn,We came to the Monasterio.  The line is very long. We wondered if we could buy tickets online and we did. The tickets say they are fast track and explicitly say “skip the line”. They are not skip the line they are get at the back of the line.,"Written May 24, 2022",37 contributions,Do not buy fast track tickets from online apps.
Sinead O,"Very disappointed the church was closed Sunday afternoon for 2 hours advertising catholics that wanted mass could attend but only Portuguese and Spanish talking to security could attend. After mass ended and we'd finally gained entry we stayed with some other tourists seeing the paintings and art work as I walked past a door a man came running in shouting 'everyone get out' so we were aggressively thrown out. We had just one day in Lisbon and that morning was to see the bellem Tower and monastery, this treatment in a Christian establishment was uncalled for. Portuguese were ushered in after a few words about attending mass, though clearly they too were tourists, I was met with a blank stare when I said 'I'm Catholic can I attend Mass too?' we were very respectful and took part in the mass.","Written May 24, 2022",6 contributions,Not worth it
babykong,The receptionist at my hotel said that this was the only tourist attraction in Lisbon that he would pay to get in to - and I totally agree! Such a beautiful building with lots of intricate details.,"Written May 22, 2022","London, UK",Exquisite.
098traveller,Stunning grounds to explore. The queues can be a little long to get In but it is well worth the wait. The architecture is unique and it’s a lovely site to walk around.,"Written May 17, 2022","London, UK",Stunning architecture
r0maca,"A unique place that you have to live, it is magnificently indescribable. It is difficult to express the impression that a place like that gives you, a place so wonderful and so full of treasures for the senses and the spirit. The fullness of light and shadow, the play of colors and figures, an architectural marvel.","Written May 17, 2022","Oslo, Norway","I'm at a loss for words, it's wonderful"
Tori,This is absolutely worth the visit! 5€ for a student and more than worth it. The grounds are beautiful and the architecture is fantastic. A great way to spend an hour or two,"Written May 15, 2022",Wisconsin,Beautiful!
Emma C,"Oh my goodness, this place was just beautiful. We weren't quite prepared for how ornate and wonderful it looked on the blue sky-ed, sunny, warm day we visited.","Written May 15, 2022","Oxford, UK",Stunning!
,,,,
fssutton1,"We parked across the street.  If you are savy you might fid free parking nearby.  Whatever you do try to buy your ticket in advance.  If you do then get in the linee in front of the church.  If you don't then you need to go about 100 yards to the left and stand in line and buy your tickets and then go back and stand in the line in front of the church.  After you visit the monastary then you can get back in line out front in the right hand lane and go in the church which is free.  I would try to get to the first line you need to be in by 0945; if not standby for some extended waiting in line.  The pastry shop, the Belem Tower and the cont art museum are all easy walks.","Written May 12, 2022","Charleston, SC","very nice, but plan ahead"
Allan C,"Another of the must do's in Lisbon. Built almost solely in the Manuelline style it was gradually supplemented throughout the sixteenth century and pays tribute to Saints, Kings and explorers, including the grave of Vascoda Gama. Plenty to admire though some found the decoration and rich carvings a little overwhelming amid the relative simplicity elsewhereand the pleasant grounds.","Written May 10, 2022","Ipswich, UK",A must see in Lisbon
Shirleeee,The monastery is easy to get to and has beautiful tiles and open spaces.  And it is an easy walk to other sites in the area.,"Written May 9, 2022","Naples, FL",Beautiful
vijaysaxena99,"A big Gothic/Romanesque Church. Contains Royal tombs as well that of Vasco da Gama, an important personality in Portuguese history. It is a very popular destination in Lisbon with long lines. Allow yourself an hour to get in.","Written May 9, 2022","Albany, NY",grand old church with tomb of Vasco da Gama
h_schamhardt,"What a very amazing and beautiful place; with a style that we have not really seen much before. And unfortunately, due to earthquake 2.5 centuries ago, not many others existing in Portugal. ","Written May 8, 2022",The Netherlands,"Wow! What an amazing monastery, with a very unique style"
treetrippers,Used the Lisboa card and was wonderful to pass the big long line . It’s a wonderful place for pictures. The church is lovely. ,"Written May 8, 2022","Fredericton, Canada",Really neat place
lucy4414,"We went by bus which was very easy. We had to go in one entrance to buy the tickets and another to go in - there were no lines despite there being loads of people about. The stonework inside is incredible - hard to believe it was created at a time when there were no power tools or engine powered lifting equipment. A beautiful place! There isn’t a huge amount to see, but well worth the visit. The church is free to go in and there was no line for that either when we wanted to go in.","Written May 6, 2022","Lakenheath, Suffolk",Stunning architecture
Moe G,Vasco de Gama proved that the world was not flat when he rounded Cape Horn of Africa to open up trade routes in India and China.  A great history of the Portuguese sea power that resulted.  There's a display of navigation tools developed by Henry the Navigator and ships that were developed for exploration and trade.  One of my favorite stops in Lisbon.,"Written May 4, 2022","Vienna, VA",Great for Sailors/Ocean travelers
carrom,Short bus ride to belem. Worth seeing. Amazing lacework architecture. Fine church. Doesn't take long. ,"Written May 4, 2022","Rome, Italy",Interesting
IrishTraveller0,"Easy to visit from Lisbon, avoid the tram (it's packed) and the train station in Belem (seemed to be a good walk away) - get the bus which stops beside the monastery.","Written May 1, 2022","Dublin, Ireland",Amazing architecture
,,,,
Colocinte,"Probably the top attraction in Lisbon, definitely a must if you are in town, don't miss it. Wonderful manueline architecture in the beautiful Belem.","Written May 1, 2022","Firenze, Italia",Wonderful
Kathinated,"This is an attractive  and contemplative (if. It too busy) monastery with a calm quadrangle.  The arches and fountains have lots of sculpture details to look at and the whole place is relaxing.  Very popular and numbers in and out were controlled at the time of our visit, but that may be for coronavirus controls.  Free with Lisbon Card.","Written April 29, 2022","Dunfermline, UK",Contemplative monastery with sculpture details
WorldTravellerSoon,We came to the Monastery after we visited the Belem Tower on Wednesday.  You have to line up at the Museum of Archeology to buy the ticket.  It is cheaper if you buy the package to visit the Museum and Monastery.  You have to stand in a long queue to  to buy the ticket (where there was one ticket machine at that time).  Then you still have to wait in a queue to go to the Monastery (45 mins for us).  This arrangement is ridiculous.,"Written April 29, 2022",Canada,Beautiful building but poor ticking and line-up arrangement
ramblinggirl67,"This was worth the visit. The architecture is beautiful and it was enjoyable to walk around. It would have been nice to have more information provided about the history of the building. We came on a Thursday afternoon and bought tickets in advance, and didn't have to wait. The church is free to enter and has the tombs of Vasco de Gama and Luis de Camoes. We walked from here to Belem Tower.","Written April 27, 2022","Atlanta, GA",Beautiful place to visit
Andrew R,You queue for ages and it is OK but not spectacular.  Architecture is different and unusual but not for me. The church is free to go in and definitely worth the visit. ,"Written April 27, 2022","Market Harborough, UK",Not worth the wait 
nealgraham,This is well worth a visit but get there for the opening time as the queue can be long. Also worth going up the Explorer's monument and seeing it from the top.,"Written April 27, 2022","Newbury, UK",Beautiful building
Brock M,"Such a unique and beautiful building, and very important in Lisbon's history. For only €5 to enter, it is 100% worth a stop! Also, the attached church is free to enter. We went on a Sunday when it is extra busy (as it is free for Portuguese citizens then), and the long line moved quite quickly. Just make sure to buy a ticket on the website in advance to save time finding the ticket office and buying a ticket.","Written April 26, 2022","Denver, CO",Beautiful
Amilcar Guzman,A wonderful day to visit one of the landmarks of Lisbon! Great views and fantastic architecture. I highly recommend for future visits.,"Written April 26, 2022","Washington DC, DC",Do it
mslancashire503927,Admired this from the outside but went into the church section for free. Stunning architecture and worth seeing. Many visitors but very spacious area to the front,"Written April 23, 2022","Burnley, UK",Stunning
MikeFo,"Really lovely place inside, but you have to buy tickets 200m away at the museum, and that was a very painful process most of the automated machines were out of order, and a member of staff insisted on operating the machine (perhaps for COVID reason), but it took ages to get a ticket.","Written April 23, 2022","Brighton, UK","Very good site, ticketing a pain though"
,,,,
ORTravelMom,"This is one of the only UNESCO sites in Lisbon so it is VERY POPULAR. The actual tour area is very large and feels uncrowded, but arriving anytime after the actual opening means a LONG LINE. You can purchase tickets at a small stall marked “information” in the park across from the entrances. There are 3 lines. The church is free entrance, the middle door with the longest line is the monastery, the 3rd is the museum of anthropology which in Spring 2022 was being remodeled, but is interesting as is, about various civilizations in the area. You can also buy tickets for the monastery here as well. When we were in line to see the Monastery, we waited 40 min to enter with the line way past the 3rd door, if that helps you decide your pace","Written April 18, 2022","Eugene, OR",Beautiful! Arrive at opening time or wait.
Thomas V,"Beware the huge crowds.  This is a super-popular site and I do not have a great recommendation for avoiding lines and crowds.  But once inside it is extraordinary, just splendid architecture, art, and history.  Certainly a must.","Written April 18, 2022","Oakland, CA",Crowds But a Must-See
AmarilisVos,"If you want to avoid the crowd, come early. This is probably the most visited building in the city. If you don't have tickets, walk to the entrance in the middle of the building. The entrance on the right side of the building is where you need to start your visit.","Written April 17, 2022","Jabbeke, Belgium",Crowded place
Traveller of the world,"Stunning beyond words.  Go at 10:00 as it is so busy later.  They open at 10:00.  I got there just before 10:00 and the line was long but not too bad and it moved quick. I was in within twenty minutes.  When I came out after I had finished, lord have mercy!  There was almost triple the number of people and so many tour groups.  Chaos.  Please buy your ticket online as you will otherwise need to get this separately on the day and wait in two long lines!  Fast track does not mean you go in quicker.  Just be careful as there are some dodgy websites.  The ticket price at time of writing April 2022, for a basic adult ticket is €10.00.  The architecture and detail is just breathtaking.  You can also appreciate it better by going early when it is less crowded.  My main negative is that there is limited information and I was kicking myself that I forgot my guide book!  You will end up doing what me and most people were doing and that was looking, admiring and taking photographs but missing the important detail.  After you have finished, go to Pastéis de Belém which is a two minute walk away and then the Belém Tower which is less than twenty minutes by foot.  The Belém Tower is less busier and does not need as much time.","Written April 15, 2022","1,242 contributions",Useful tips in my review!
Marty Bielicki,"2022 Monastery of Jeronimos, Lisbon","Written April 14, 2022","Jensen Beach, FL",A Few Tips about Jeronimos
chimayred,saw this from the Explorers monument and walked over to see it.  Immense.  Beautiful interior.  Park across the street is closed for renovations.  Well Worth it.  ,"Written April 13, 2022","Durham, NH",whoa
ginsengNewYork,"Highly touristic : make sure you get your ticket online, or you'll have to queue up for a long time at the other end of the building in full sun (they have 3 machines for ticketing but usually 2 are out of work so an employee has to help visitors figure out how to use the last one which takes an inordinate amount of time). ","Written April 12, 2022",new york,INTERESTING
Zac A,"Beautiful monastery in Belem. A few famous people were interred there as well. Come earlier in the day to beat the crowds, on weekdays if you can!","Written April 10, 2022","Chicago, IL","Beautiful monastery, come early to beat the crowds"
sleepy155,Do not miss this outstanding place on your Lisbon visit. The architecture and attention to detail is stunning. Everywhere you look is amazing. To visit the cathedral is free and to visit the monastery is 10 euros. You can purchase a combined ticket to visit the archeological museum along with the monastery for 14 euros. I highly recommend a visit to this great place.,"Written April 10, 2022","Hollywood, FL",A must visit in Lisbon
Kathleen F,"The monastery itself is beautiful! You can enter the church for free and without much of a wait. We purchased ‘skip the line’ tickets, but they weren’t honoring those the day we went. So we were able to skip the initial ticket purchasing queue, but still had to wait 45 minutes or so to actually enter the monastery (along with many others who bought tickets ahead, under the impression we’d be able to go right in).","Written April 10, 2022",2 contributions,"Beautiful, but plan to wait"
,,,,
Teddy,"Worth visiting. Just note that you have to buy tickets from the machines at one place-and it's by card only, I think, and then queue to enter at the entrance.","Written April 9, 2022","Sofia, Bulgaria",Worth visiting
LydiaOko,"It was so so beautiful and I don't regret going but the ticket signage isn't very clear (go to the Museum BEFORE you join the queue). I ended up queuing twice haha so didn't do everything I wanted to do on the day but it was very nice inside. It's 10 euros per adult, 12 euros if you add the museum","Written April 5, 2022",12 contributions,Pretty but get there early so you don't have to queue!
Denise,Amazing well preserved place .good distancing . Thankyou for reasonable price too. Lots of time and also the church you can enter for free . Tickets need to be bought in the museum . But just excellent ,"Written April 2, 2022","Stockton-on-Tees, UK",Excellent 
Walter,Definitely worth stopping here at the monastery when you take the tram to Belem tower. Some nice restaurants in the area as well,"Written April 2, 2022","Zichem, Belgium",Beautiful monastery on the road towards Belem tower
mk21054,pretty to see and history is interesting but boring.....glad we got to see this but wouldn't rush back      better things to do and see,"Written March 31, 2022","Punta Gorda, FL",boring
Sam D,"Beautiful architecture, court yard, very interesting history. I wish there was more information offered. Great to do once!","Written March 27, 2022","San Diego, CA",Beautiful
PMV,"After queuing for quite a long time on a Sunday early afternoon, we finally entered this amazing monastery, where I spent an hour, visiting the 2 floors. Unfortunately the church was closed until 2pm, so I couldn't wait anymore. You walk around the cloister but can't visit the indoor. ","Written March 27, 2022","Dubai, United Arab Emirates",A must see
NataliaD D,One of the most beautiful places in Lisbon. I would strongly recommend a visit - it's not a long tour inside but very pretty. ,"Written March 24, 2022","Cambridge, UK",One of the most beautiful places in Lisbon 
Pennies-from-Devon,"The exterior of the Monastery is imposing, to say the least, and gives you a massive clue what you can expect inside.  The first view of the cloisters as you walk in is just breath-taking. It's a fabulous building with so much rich detailing in the carvings, traceries, gargoyles, ceiling bosses, door surrounds etc. It's worth taking your time to look at all the carved faces!","Written March 23, 2022","Plymouth, UK",A must-see - please don't miss it.
Cami S,"A very clean historically important church that is the perfect example of Portuguese Manuelino architecture. A little tourist-heavy, but that's because it's a cool experience.","Written March 18, 2022",22 contributions,An amazing church building and a perfect example of Manuelino architecture
,,,,
Escapefromlife,Staff attitude stank - door staff rude and unwelcoming. On exit I walked down a disabled ramp that was in the centre of the steps - I was literally at the bottom and the idiot on the door made me go back up and walk down the steps - why?? Because I wasn't disabled and mustn't use the ramp... like a naughty school kid I was sent around the other way. What a cretin. ,"Written March 18, 2022","Brighton, UK",Staff attitude stank
ami s,excellent visit to a fantastic old world example of advanced technological architecture. ,"Written March 15, 2022","Moscow, Russia",amazing structure! I could spend hours upon hours there !
loulou089,A very old monastery . One of Lisbon's important monuments.It wasn't busy when we went but beware it can get busy.,"Written March 14, 2022",england,Very beautiful
ElizabethPortugal,"Arrived at 10am but had to wait 25 minutes for a ticket. Only one of the 3 automated ticket machines on the right was working. Only takes cards, not cash. Incredibly inefficient and annoying. ","Written March 11, 2022","Lisbon, Portugal",Very annoying queuing 
dympna r,"Stunning Architecture in Mosteiro dos Jeronimos. We used our Lisboa card so entrance was free.  We didn't have to wait, just went straight in and thoroughly enjoyed the beautiful buildings. The cloisters were amazing, such craftmanship!","Written March 9, 2022",2 contributions,"Stunning Architecture,"
Mjw369,"This building has beautiful architecture both from the inside and outside, plus the church next to it. It was worth a visit but did not take very long to look around. Tickets were 10 euros and we bought them online (qr code to show on entrance is emailed to you).","Written March 8, 2022","Leicester, UK",A brief visit to look at beautiful architecture
voproductions,"Worth the time to travel to and walk around Belem afterwards to enjoy the river and parks area, Take the 15 tram from Cais de Sobra","Written February 28, 2022","Dublin, Ireland",Fabulous Monastery
RPPP,Horrendous ticketing system that wastes a whole hour queueing ; six ticket machines only 3 working. Why no people at an actual ticket booth like most tourist places? Ridiculous system,"Written February 27, 2022",Scotland,Tickets fiasco
reliablereviewer2016,"Undoubtedly a magnificent monument but the entry system is somewhat puzzling...join one queue to buy tickets (for us about 30-45 minute wait) then join another queue to get in (another 30-45 minute wait). Why not one queue? Thankfully in February as I don't think I'd have lasted the wait in full sun in the summer. Once inside it's a walk around the quadrant, then same again on the first floor. Limited interiors open to public - basically just the old refectory. Overall less time to visit than waiting in the queues. It would have been nice to see in the rooms that the the monks would have lived in but these are all closed, not sure why. Impressive architecture nonetheless. 10e entry fee or 12e if visiting the adjoining museum.","Written February 23, 2022",London,Magnificent but...
Margie D,This monastery was completed in 1604. The monks who resided here gave guidance to the Portuguese sailors. The Manueline architecture represents the prosperity of the reign of King Manuel I.,"Written February 21, 2022","York, PA",Must see in Belém
,,,,
dennis fontana,"This is a must see in Lisbon, it is part of the history of the city, well preserved, would say with pride.","Written February 6, 2022","Cinto Caomaggiore, Italy",Nice to visit.
Marie Jonathan,Amazing architecture and craftsmanship on full display. We used the Rick Steves book to do a self guided tour.  Free admission with our Lisbon Card.,"Written February 4, 2022","Modesto, CA",Amazing Architecture
Kate Hdez,We were hesitant to make the 30-minute journey from the centre but so glad we did as it was definitely a highlight of our trip. Words cannot describe the beauty and tranquillity of the monastery. ,"Written January 31, 2022",7 contributions,Must visit this gorgeous place
annminky,What a beautiful site to see . It’s truly enormous from the outside. Beautiful architecture. One should stop and truly admire the grandeur of this building.,"Written January 19, 2022",United States,Magnificent!
Conna_Corpor,Very good experience definitely a must see very good distancing and some interesting tiles and architecture  to see. Would definitely recommend a visit!,"Written December 26, 2021","Portarlington, Ireland",A must see!
Nara S,So beautiful. This is my second time here and I noticed that it’s not possible to walk through the garden. Worth the visit!,"Written December 24, 2021","Sao Paulo, SP",Beautiful
Andres A,What an architectural Masterpiece. For any history buff and heritage follower must not miss this place. Sir Vasco rests here. Amazing Gothic testament. loved it,"Written December 17, 2021","Las Palmas de Gran Canaria, Spain",Must Visit in Lisbon
winchela,"Very beautiful, and well worth the visit.  Do yourself a favor....BUY TICKETS IN ADVANCE AND SKIP THE LINE!  The line gets crazy long.  I'm not sure I would have visited if I had had to get in that line - it was long.","Written December 11, 2021","Baltimore, MD",Beautiful site - buy tix in advance and skip the line!
Stephen M,"The history and the architecture are simply amazing.  As we were there in November, the off season, we had no lines and no crowds.  It is as beautiful as the pictures you see on line.","Written December 2, 2021","Downingtown, PA","This is a ""must see"" during your visit to Belem"
TejasIII,"Great monastery to visit, beautiful courtyard with intricate details, take a guide book to learn about the place","Written November 25, 2021","McAllen, TX",Amazing Place
,,,,
schmidtmg,"This is one of the most beautiful monasteries anywhere, built in the late 15th century and rightfully one of the UNECSO world heritage monuments. Beautifully restored, it is a delight to the eye. This was the third time I visited the monument, and i enjoyed it as much as the first time. The church can be visited free of charge - make sure to have a look at the tomb of  Vasco da Gama. Entrance to the Monastery  will cost Euro 10, but there are family tickets....","Written November 24, 2021",Switzerland,One of the most beautiful monasteries
TW,Must-see for any traveller to Lisbon. Cloister is amazing and the whole place oozes history. One can only imagine the wonder someone from the 16th century felt gazing at this place.,"Written November 22, 2021",16 contributions,Must-see for anyone is Lisbon with some minor drawbacks
Peter M,10€ for a short walk around a cloister is far too expensive.   We were in and out in about 20 minutes.,"Written November 19, 2021","Toronto, Canada",Too expensive for what you get
Linda Y,"Opened in 1495, Jerónimos Monastery belonged to the Order of Saint Jerome. It is a miracle that the monastery withstood several natural disasters with minimal damage, including the 1755 Lisbon earthquake. A Lisbon landmark known for its ornate Gothic Manueline style of architecture, the monastery was secularized in 1833 and named a UNESCO World Heritage Site in 1983. The magnificent church contains the burial tomb of Vasco de Gama, Portugal’s famous explorer and the first European to reach India by sea. If you only have time to visit one Lisbon landmark, this is it! Best over-all view of the massive monastery is from the top of the Discoveries Monument observation deck, located across the street.","Written November 15, 2021","Frisco, TX",Order of Saint Jerome
AppMyHome,"It's hard to imagine that this place was built in the 1500s. Absolutely beautiful architecture and history. It's a bit confusing when you arrive, there are three lines - one for tickets, one for going in the monastery, and one for the church, which is free. Don't miss the church, it's incredible. We bought the dual ticket for the archeological museum and the monastery, totally worth it. ","Written November 13, 2021","El Dorado Hills, CA",Worth the visit to see so much history in one place
pb630,We really enjoyed the Manueline architecture of the building and history behind the monastery.  Not far from Belem Tower.,"Written November 11, 2021","Guelph, Canada",Interesting history
morelqueen,"Another example of the art and architecture that is possible with time , talent and attention to detail.","Written November 11, 2021",AL,A Must See
Fellow t,"Amazing place to visit, ","Written November 10, 2021",United States,I recommend visit Belem as well!
mar0ka,"it is a quick visit, since the huge building houses several museums and the monastery itself is emty. the chirch operates independantly. it has three organs and it might be worth sheduling your visit according to the time of the messas","Written October 29, 2021",Trinidad,definitely should visit
vincent_benita,Very impressive building in particular the balustrade but also the church.,"Written October 26, 2021",50 contributions,Impressive building on the must do list in Lisbon
,,,,
Nicolae G,"It is an architectural masterpiece, very detailed, beautiful garden, in few words, there was a lot of work to make this what it is now. ","Written October 20, 2021","Bucharest, Romania",Should rated be rated as 1st attraction in Lisbon
MrsPengachoosa,The Monastery is an architectural masterpiece. It is well worth spending afternoon visiting Belem. The Discovery monument and other sights are nearby and the visits can be combined.,"Written October 12, 2021","Annandale, VA",Amazing
Bruce Johnson,"Be aware. You must queue up in one line to purchase your entry tickets and then move to another queue to enter the Monastery. To avoid the tour groups, arrive early. The Monastery is quite lovely and will require about an hour to enjoy the historical site.","Written October 6, 2021","West Linn, OR",A must see in Belem!
MarkJStevens,We were lucky to visit on a sunny day which showed the monastery in all of it's splendour.  It is lovely to spend an hour or so here just walking around and enjoying the peace and quiet.  We chose to go at the end of the day to avoid the queues and tourist groups.  My one grumble would be the staff and lack of communication.  We turned up at what we believed to be the entrance to be told to walk 50 meters down the road to buy our tickets.  We used a ticket machine to buy the tickets and this could quite easily have been at the first entrance. Staff were a little rude and not vey friendly.,"Written October 4, 2021","Redhill, UK",The architecture is beautiful
Joric M,The monastery is a great property to walk around. So much history and the exterior will keep you staring for hours. It is right across the street from the Monument to the Discoveries so you can hit both. The monastery takes about 45 minutes to tour and is something you should plan on doing when visiting Lisbon.,"Written September 30, 2021","Lisbon, Portugal",Worth a visit when in Lisbon
Inzenga,"The architecture is amazing!  It’s massive! This was just a lovely little stroll from the water.  Warning: the people selling sunglasses & necklaces are aggressive and relentless, they will follow you.  Politely declining their purchase offers does not work.","Written September 27, 2021","New Orleans, LA",Amazing Architecture!
Paulina K,Incredibly beatiful place with very polite stuff. I highly recommend visiting this extraordinary monastery and studing its history.,"Written September 27, 2021",13 contributions,Extraordinary
